Total mapped characters: 362
Code: 0xe4a2, Name: gid58530
Code: 0xe4a3, Name: gid58531
Code: 0xe4a4, Name: gid58532
Code: 0xe4a5, Name: gid58533
Code: 0xe4a6, Name: gid58534
Code: 0xe4a7, Name: gid58535
Code: 0xe4a8, Name: gid58536
Code: 0xe4a9, Name: gid58537
Code: 0xe4aa, Name: gid58538
Code: 0xe4ab, Name: gid58539
Code: 0xe4ac, Name: gid58540
Code: 0xe4ad, Name: gid58541
Code: 0xe4ae, Name: gid58542
Code: 0xe4af, Name: gid58543
Code: 0xe4b0, Name: gid58544
Code: 0xe4b1, Name: gid58545
Code: 0xe4b2, Name: gid58546
Code: 0xe4b3, Name: gid58547
Code: 0xe4b4, Name: gid58548
Code: 0xe4b5, Name: gid58549
Code: 0xe4b7, Name: gid58551
Code: 0xe4b8, Name: gid58552
Code: 0xe4b9, Name: gid58553
Code: 0xe4ba, Name: gid58554
Code: 0xe4bb, Name: gid58555
Code: 0xe4bc, Name: gid58556
Code: 0xe4bd, Name: gid58557
Code: 0xe4be, Name: gid58558
Code: 0xe4bf, Name: gid58559
Code: 0xe4c0, Name: gid58560
Code: 0xe4c1, Name: gid58561
Code: 0xe4c2, Name: gid58562
Code: 0xe4c3, Name: gid58563
Code: 0xe4c4, Name: gid58564
Code: 0xe4c5, Name: gid58565
Code: 0xe4c6, Name: gid58566
Code: 0xe4c7, Name: gid58567
Code: 0xe4c8, Name: gid58568
Code: 0xe4c9, Name: gid58569
Code: 0xe4ca, Name: gid58570
Code: 0xe4cb, Name: gid58571
Code: 0xe4cc, Name: gid58572
Code: 0xe4cd, Name: gid58573
Code: 0xe4ce, Name: gid58574
Code: 0xe4cf, Name: gid58575
Code: 0xe4d0, Name: gid58576
Code: 0xe4d1, Name: gid58577
Code: 0xe4d2, Name: gid58578
Code: 0xe4d3, Name: gid58579
Code: 0xe4d5, Name: gid58581
Code: 0xe4d6, Name: gid58582
Code: 0xe4d7, Name: gid58583
Code: 0xe4d9, Name: gid58585
Code: 0xe4da, Name: gid58586
Code: 0xe4db, Name: gid58587
Code: 0xe4dc, Name: gid58588
Code: 0xe4dd, Name: gid58589
Code: 0xe4de, Name: gid58590
Code: 0xe4df, Name: gid58591
Code: 0xe4e0, Name: gid58592
Code: 0xe4e1, Name: gid58593
Code: 0xe4e2, Name: gid58594
Code: 0xe4e3, Name: gid58595
Code: 0xe4e4, Name: gid58596
Code: 0xe4e5, Name: gid58597
Code: 0xe4e6, Name: gid58598
Code: 0xe4e7, Name: gid58599
Code: 0xe4e8, Name: gid58600
Code: 0xe4e9, Name: gid58601
Code: 0xe4ea, Name: gid58602
Code: 0xe4eb, Name: gid58603
Code: 0xe4ec, Name: gid58604
Code: 0xe4ed, Name: gid58605
Code: 0xe4ee, Name: gid58606
Code: 0xe4ef, Name: gid58607
Code: 0xe4f0, Name: gid58608
Code: 0xe4f1, Name: gid58609
